Execution Time: 75.4193103313446
Number of Frames: 2156
Process: 28.586843217312698Fps
60.png 0.8189 - 3
70.png 0.7458 - 1
60.png 0.831 - 2
40.png 0.8655 - 1
70.png 0.7642 - 1
40.png 0.8101 - 5
60.png 0.7937 - 3
70.png 0.7927 - 1
60.png 0.8091 - 4
40.png 0.8601 - 1
70.png 0.7616 - 1
60.png 0.8027 - 6
40.png 0.8251 - 1
60.png 0.8234 - 3
70.png 0.7215 - 1
60.png 0.7771 - 2
40.png 0.8538 - 1
70.png 0.7796 - 1
60.png 0.7826 - 2
40.png 0.8555 - 1
60.png 0.8371 - 1
40.png 0.8614 - 1
60.png 0.815 - 3
70.png 0.7718 - 1
60.png 0.8441 - 1
70.png 0.7569 - 2
60.png 0.7987 - 9
70.png 0.7676 - 1
60.png 0.7728 - 2
70.png 0.7824 - 1
60.png 0.7591 - 5
70.png 0.781 - 1
60.png 0.7116 - 1
70.png 0.7523 - 2
60.png 0.7775 - 5
70.png 0.7295 - 2
60.png 0.7302 - 1
70.png 0.7531 - 1
60.png 0.7833 - 3
70.png 0.7452 - 1
60.png 0.7936 - 3
70.png 0.7079 - 1
60.png 0.8262 - 2
70.png 0.6985 - 1
60.png 0.7094 - 2
70.png 0.7576 - 3
60.png 0.7918 - 6
70.png 0.7141 - 2
60.png 0.8267 - 1
70.png 0.7687 - 1
60.png 0.7929 - 5
70.png 0.7664 - 1
60.png 0.8873 - 1
70.png 0.7884 - 2
60.png 0.5386 - 1
70.png 0.6877 - 1
60.png 0.7476 - 1
70.png 0.7734 - 52
TurnRight.png 0.504 - 1
70.png 0.6972 - 9
Stop.png 0.5909 - 9
NoLeftTurn.png 0.6579 - 2
Stop.png 0.5862 - 4
NoLeftTurn.png 0.681 - 1
Stop.png 0.5542 - 1
NoLeftTurn.png 0.6867 - 3
TurnLeft.png 0.731 - 1
NoLeftTurn.png 0.6775 - 3
TurnLeft.png 0.7781 - 2
NoLeftTurn.png 0.7075 - 2
TurnLeft.png 0.7686 - 7
NoLeftTurn.png 0.7329 - 1
TurnLeft.png 0.7471 - 6
NoLeftTurn.png 0.7342 - 1
TurnLeft.png 0.7454 - 1
NoLeftTurn.png 0.7587 - 1
TurnLeft.png 0.7475 - 9
NoLeftTurn.png 0.7999 - 1
TurnLeft.png 0.7445 - 3
NoLeftTurn.png 0.8121 - 1
TurnLeft.png 0.7465 - 2
NoLeftTurn.png 0.765 - 1
TurnLeft.png 0.7284 - 1
NoLeftTurn.png 0.7907 - 1
TurnLeft.png 0.7535 - 4
NoLeftTurn.png 0.8194 - 1
TurnLeft.png 0.7525 - 3
NoLeftTurn.png 0.8249 - 1
TurnLeft.png 0.8324 - 1
NoLeftTurn.png 0.8083 - 3
NoRightTurn.png 0.7266 - 1
NoLeftTurn.png 0.7415 - 6
NoRightTurn.png 0.7378 - 3
NoLeftTurn.png 0.6349 - 1
NoRightTurn.png 0.7887 - 6
NoLeftTurn.png 0.6861 - 1
NoRightTurn.png 0.7999 - 4
NoLeftTurn.png 0.7426 - 1
NoRightTurn.png 0.8072 - 1
NoLeftTurn.png 0.7752 - 2
