Execution Time: 135.2352592945099
Number of Frames: 2156
Process: 15.942587837279554Fps
60.png 0.765 - 4
80.png 0.5469 - 2
60.png 0.754 - 19
70.png 0.7709 - 2
60.png 0.6997 - 2
70.png 0.768 - 2
60.png 0.9147 - 1
70.png 0.7967 - 1
60.png 0.8443 - 1
70.png 0.7438 - 2
60.png 0.8233 - 3
70.png 0.7662 - 2
60.png 0.6131 - 1
70.png 0.7669 - 13
60.png 0.7948 - 1
70.png 0.6385 - 1
60.png 0.8797 - 1
70.png 0.7225 - 1
60.png 0.7454 - 1
70.png 0.8202 - 2
50.png 0.6847 - 1
70.png 0.7973 - 4
80.png 0.5848 - 1
70.png 0.6718 - 73
Stop.png 0.7138 - 7
NoLeftTurn.png 0.7983 - 3
TurnLeft.png 0.883 - 1
NoLeftTurn.png 0.7406 - 47
NoRightTurn.png 0.8207 - 2
NoLeftTurn.png 0.7418 - 2
NoRightTurn.png 0.8398 - 3
NoLeftTurn.png 0.7596 - 2
NoRightTurn.png 0.8151 - 7
NoLeftTurn.png 0.8264 - 1
NoRightTurn.png 0.8152 - 5
NoLeftTurn.png 0.807 - 1
NoRightTurn.png 0.8167 - 44
