Execution Time: 60.37407684326172
Number of Frames: 2156
Process: 35.71069095759812Fps
60.png 0.8366 - 3
70.png 0.784 - 1
60.png 0.8116 - 2
40.png 0.8478 - 1
60.png 0.7742 - 2
40.png 0.7771 - 4
60.png 0.8097 - 8
40.png 0.8157 - 1
70.png 0.749 - 1
60.png 0.8031 - 6
40.png 0.8207 - 1
70.png 0.8364 - 1
60.png 0.7758 - 5
40.png 0.8281 - 1
70.png 0.7846 - 1
60.png 0.7907 - 2
40.png 0.7933 - 1
60.png 0.7893 - 1
40.png 0.8266 - 1
60.png 0.8098 - 5
70.png 0.7657 - 2
60.png 0.8263 - 5
70.png 0.7477 - 1
60.png 0.7899 - 3
70.png 0.7834 - 2
60.png 0.7787 - 1
70.png 0.762 - 1
60.png 0.7544 - 5
70.png 0.767 - 1
60.png 0.687 - 1
70.png 0.7566 - 2
60.png 0.8093 - 2
70.png 0.7785 - 1
60.png 0.7671 - 9
70.png 0.7542 - 2
60.png 0.8107 - 2
70.png 0.7016 - 1
60.png 0.8197 - 2
70.png 0.7175 - 1
60.png 0.7363 - 2
70.png 0.7843 - 3
60.png 0.7819 - 6
70.png 0.7065 - 1
60.png 0.7858 - 6
70.png 0.8158 - 1
60.png 0.814 - 1
70.png 0.7577 - 1
60.png 0.8298 - 1
70.png 0.7962 - 2
80.png 0.551 - 1
70.png 0.7116 - 1
60.png 0.7329 - 1
70.png 0.791 - 60
Stop.png 0.5597 - 7
NoLeftTurn.png 0.6468 - 1
Stop.png 0.6135 - 2
NoLeftTurn.png 0.6585 - 2
Stop.png 0.6086 - 4
NoLeftTurn.png 0.7098 - 1
Stop.png 0.6114 - 1
NoLeftTurn.png 0.7041 - 3
TurnLeft.png 0.742 - 1
NoLeftTurn.png 0.6652 - 3
TurnLeft.png 0.7859 - 2
NoLeftTurn.png 0.7197 - 2
TurnLeft.png 0.7966 - 1
NoLeftTurn.png 0.6983 - 1
TurnLeft.png 0.7794 - 5
NoLeftTurn.png 0.7526 - 1
TurnLeft.png 0.7613 - 6
NoLeftTurn.png 0.7467 - 1
TurnLeft.png 0.7068 - 1
NoLeftTurn.png 0.7694 - 1
TurnLeft.png 0.787 - 13
NoLeftTurn.png 0.8077 - 1
TurnLeft.png 0.7399 - 2
NoLeftTurn.png 0.7871 - 1
TurnLeft.png 0.7895 - 6
NoLeftTurn.png 0.8082 - 1
TurnLeft.png 0.7896 - 4
NoLeftTurn.png 0.811 - 4
NoRightTurn.png 0.7614 - 1
NoLeftTurn.png 0.7807 - 2
NoRightTurn.png 0.8241 - 1
NoLeftTurn.png 0.7352 - 4
NoRightTurn.png 0.8057 - 2
NoLeftTurn.png 0.7713 - 2
NoRightTurn.png 0.7935 - 5
NoLeftTurn.png 0.7712 - 1
NoRightTurn.png 0.8088 - 4
NoLeftTurn.png 0.7593 - 1
NoRightTurn.png 0.8222 - 1
NoLeftTurn.png 0.7767 - 2
NoRightTurn.png 0.7996 - 4
NoLeftTurn.png 0.8103 - 1
NoRightTurn.png 0.7997 - 3
NoLeftTurn.png 0.814 - 1
NoRightTurn.png 0.8271 - 1
NoLeftTurn.png 0.7633 - 1
NoRightTurn.png 0.8322 - 24
TurnRight.png 0.5732 - 2
NoRightTurn.png 0.8453 - 9
TurnRight.png 0.5093 - 1
NoRightTurn.png 0.7818 - 17
TurnRight.png 0.5755 - 1
NoRightTurn.png 0.5824 - 2
40.png 0.754 - 12
NoEntry.png 0.5877 - 1
40.png 0.7981 - 22
60.png 0.7429 - 10
40.png 0.6802 - 1
70.png 0.7689 - 33
NoLeftTurn.png 0.7988 - 7
TurnLeft.png 0.5849 - 1
NoEntry.png 0.5926 - 1
TurnLeft.png 0.5849 - 1
NoEntry.png 0.5817 - 2
40.png 0.6383 - 14
60.png 0.7939 - 6
NoStopping.png 0.5473 - 1
60.png 0.789 - 1
TurnLeft.png 0.5357 - 2
60.png 0.6996 - 11
80.png 0.8015 - 1
60.png 0.7028 - 2
50.png 0.6077 - 1
80.png 0.6101 - 1
40.png 0.5526 - 1
NoStopping.png 0.5233 - 1
70.png 0.7242 - 9
NoEntry.png 0.5859 - 1
70.png 0.5979 - 4
Stop.png 0.5454 - 9
NoEntry.png 0.579 - 3
NoStopping.png 0.6221 - 2
TurnLeft.png 0.6929 - 17
NoEntry.png 0.5745 - 1
NoLeftTurn.png 0.7543 - 14
NoRightTurn.png 0.7814 - 11
TurnRight.png 0.6071 - 7
40.png 0.77 - 22
60.png 0.6892 - 6
80.png 0.7422 - 1
60.png 0.6548 - 2
50.png 0.6454 - 1
60.png 0.7303 - 5
50.png 0.6018 - 1
60.png 0.6466 - 9
50.png 0.5189 - 1
60.png 0.7518 - 14
80.png 0.6164 - 1
60.png 0.7955 - 5
80.png 0.5016 - 1
60.png 0.7823 - 1
TurnRight.png 0.5697 - 3
70.png 0.7528 - 29
NoLeftTurn.png 0.7047 - 11
NoRightTurn.png 0.7623 - 7
60.png 0.8191 - 1
40.png 0.8818 - 1
60.png 0.7597 - 1
40.png 0.7757 - 2
80.png 0.7482 - 1
40.png 0.7412 - 2
60.png 0.793 - 1
40.png 0.7168 - 1
60.png 0.7797 - 2
40.png 0.8727 - 1
60.png 0.8014 - 4
40.png 0.8345 - 4
80.png 0.8297 - 1
40.png 0.7865 - 1
60.png 0.8043 - 1
40.png 0.7518 - 1
80.png 0.8098 - 1
60.png 0.7657 - 2
40.png 0.8708 - 1
60.png 0.8005 - 2
40.png 0.8277 - 1
60.png 0.7981 - 4
40.png 0.8192 - 3
80.png 0.8267 - 1
40.png 0.8434 - 3
60.png 0.8162 - 1
40.png 0.7613 - 5
60.png 0.808 - 1
40.png 0.8058 - 1
60.png 0.8138 - 4
80.png 0.6924 - 2
60.png 0.7896 - 2
40.png 0.7329 - 1
60.png 0.7964 - 1
40.png 0.774 - 1
80.png 0.7924 - 1
60.png 0.8369 - 1
