Execution Time: 78.0550103187561
Number of Frames: 2156
Process: 27.621545256293786Fps
60.png 0.8334 - 3
70.png 0.7563 - 1
60.png 0.8462 - 2
40.png 0.8804 - 1
70.png 0.7771 - 1
40.png 0.8059 - 5
60.png 0.8158 - 3
70.png 0.8029 - 1
60.png 0.826 - 4
40.png 0.865 - 1
70.png 0.7778 - 1
60.png 0.8154 - 6
40.png 0.8584 - 1
60.png 0.8422 - 3
70.png 0.7368 - 1
60.png 0.8562 - 1
70.png 0.7372 - 1
40.png 0.8767 - 1
70.png 0.7943 - 1
60.png 0.7983 - 2
40.png 0.8524 - 1
60.png 0.8512 - 1
40.png 0.8653 - 1
60.png 0.8333 - 3
70.png 0.7922 - 1
60.png 0.8626 - 1
70.png 0.783 - 2
60.png 0.8157 - 9
70.png 0.7871 - 1
60.png 0.8118 - 1
70.png 0.7706 - 2
60.png 0.754 - 3
70.png 0.7481 - 1
60.png 0.8215 - 1
70.png 0.7926 - 1
60.png 0.7126 - 1
70.png 0.7648 - 2
60.png 0.7853 - 5
70.png 0.7496 - 1
60.png 0.7395 - 2
70.png 0.775 - 1
60.png 0.8023 - 3
70.png 0.7654 - 1
60.png 0.8147 - 3
70.png 0.7324 - 1
60.png 0.831 - 2
70.png 0.7028 - 1
60.png 0.7235 - 2
70.png 0.7697 - 3
60.png 0.8041 - 2
70.png 0.7535 - 1
60.png 0.8059 - 3
70.png 0.7205 - 2
60.png 0.8471 - 1
70.png 0.7817 - 2
60.png 0.8159 - 4
70.png 0.7982 - 1
60.png 0.9082 - 1
70.png 0.8048 - 2
60.png 0.5488 - 1
70.png 0.6864 - 1
60.png 0.7577 - 1
70.png 0.7816 - 54
NoStopping.png 0.5067 - 1
70.png 0.7143 - 7
Stop.png 0.6128 - 9
NoLeftTurn.png 0.6669 - 2
Stop.png 0.6033 - 4
NoLeftTurn.png 0.6956 - 1
Stop.png 0.5769 - 1
NoLeftTurn.png 0.6991 - 3
TurnLeft.png 0.745 - 1
NoLeftTurn.png 0.6829 - 3
TurnLeft.png 0.7882 - 2
NoLeftTurn.png 0.7185 - 2
TurnLeft.png 0.7597 - 14
NoLeftTurn.png 0.7537 - 1
TurnLeft.png 0.7089 - 1
NoLeftTurn.png 0.7609 - 1
TurnLeft.png 0.7618 - 9
NoLeftTurn.png 0.8173 - 1
TurnLeft.png 0.7531 - 3
NoLeftTurn.png 0.8284 - 1
TurnLeft.png 0.7368 - 2
NoLeftTurn.png 0.7843 - 1
TurnLeft.png 0.7756 - 1
NoLeftTurn.png 0.793 - 1
TurnLeft.png 0.7651 - 4
NoLeftTurn.png 0.836 - 1
TurnLeft.png 0.7657 - 3
NoLeftTurn.png 0.8252 - 5
NoRightTurn.png 0.7267 - 1
NoLeftTurn.png 0.7377 - 7
NoRightTurn.png 0.8034 - 2
NoLeftTurn.png 0.6572 - 1
NoRightTurn.png 0.7943 - 6
NoLeftTurn.png 0.7038 - 1
NoRightTurn.png 0.8029 - 4
NoLeftTurn.png 0.7518 - 1
NoRightTurn.png 0.8134 - 1
NoLeftTurn.png 0.7818 - 2
NoRightTurn.png 0.7899 - 4
NoLeftTurn.png 0.7471 - 1
NoRightTurn.png 0.8013 - 5
NoLeftTurn.png 0.7386 - 1
NoRightTurn.png 0.8228 - 24
TurnRight.png 0.5754 - 2
NoRightTurn.png 0.8308 - 9
TurnRight.png 0.5292 - 1
NoRightTurn.png 0.771 - 17
TurnRight.png 0.5678 - 1
NoRightTurn.png 0.566 - 2
40.png 0.741 - 12
NoEntry.png 0.5904 - 1
40.png 0.8052 - 22
60.png 0.7451 - 10
40.png 0.597 - 2
70.png 0.771 - 33
NoLeftTurn.png 0.791 - 7
TurnLeft.png 0.5702 - 3
NoEntry.png 0.5955 - 1
TurnLeft.png 0.5717 - 1
40.png 0.8201 - 1
NoEntry.png 0.6198 - 1
40.png 0.6598 - 10
80.png 0.5169 - 1
40.png 0.5458 - 1
60.png 0.8032 - 6
TurnLeft.png 0.5431 - 1
60.png 0.8326 - 1
TurnLeft.png 0.541 - 2
60.png 0.7012 - 10
50.png 0.5732 - 1
60.png 0.7408 - 4
80.png 0.6213 - 1
40.png 0.5551 - 1
TurnLeft.png 0.5016 - 1
70.png 0.6677 - 14
Stop.png 0.5534 - 4
NoEntry.png 0.5492 - 4
NoStopping.png 0.6151 - 1
TurnLeft.png 0.682 - 17
NoEntry.png 0.561 - 1
NoLeftTurn.png 0.7424 - 14
NoRightTurn.png 0.7762 - 11
TurnRight.png 0.5525 - 3
NoRightTurn.png 0.635 - 1
TurnRight.png 0.5675 - 1
NoRightTurn.png 0.5898 - 1
TurnRight.png 0.6494 - 2
40.png 0.7888 - 22
60.png 0.7783 - 4
50.png 0.5899 - 2
60.png 0.8101 - 1
50.png 0.5819 - 1
60.png 0.755 - 1
50.png 0.6251 - 1
60.png 0.7076 - 7
50.png 0.5659 - 1
60.png 0.806 - 1
50.png 0.5152 - 1
60.png 0.7217 - 20
80.png 0.6264 - 1
60.png 0.8202 - 5
80.png 0.5103 - 1
60.png 0.8591 - 1
TurnRight.png 0.5683 - 3
70.png 0.7773 - 22
TurnRight.png 0.5137 - 1
70.png 0.6706 - 7
NoLeftTurn.png 0.7004 - 11
NoRightTurn.png 0.7504 - 7
60.png 0.8192 - 1
40.png 0.8831 - 1
60.png 0.7848 - 1
40.png 0.7647 - 2
80.png 0.7636 - 1
40.png 0.7177 - 2
60.png 0.8362 - 1
40.png 0.7166 - 1
60.png 0.8327 - 1
80.png 0.77 - 1
40.png 0.865 - 2
60.png 0.8094 - 3
40.png 0.8678 - 4
60.png 0.8435 - 1
40.png 0.8198 - 1
60.png 0.7884 - 1
40.png 0.7093 - 1
80.png 0.8301 - 1
60.png 0.7836 - 2
40.png 0.9012 - 1
60.png 0.8248 - 2
40.png 0.8963 - 1
60.png 0.8065 - 5
40.png 0.8485 - 2
60.png 0.8517 - 1
40.png 0.8748 - 3
60.png 0.8192 - 1
40.png 0.7627 - 5
60.png 0.8374 - 1
40.png 0.8623 - 1
60.png 0.8377 - 4
40.png 0.8494 - 1
80.png 0.592 - 1
60.png 0.7879 - 2
40.png 0.7325 - 1
60.png 0.8419 - 1
40.png 0.7913 - 1
80.png 0.8029 - 1
60.png 0.8281 - 2
40.png 0.6476 - 1
60.png 0.8284 - 3
40.png 0.6062 - 1
60.png 0.8165 - 1
40.png 0.8577 - 3
60.png 0.7898 - 1
40.png 0.7476 - 1
60.png 0.8133 - 1
40.png 0.8015 - 2
60.png 0.8093 - 1
40.png 0.7515 - 1
60.png 0.7704 - 4
80.png 0.5538 - 2
60.png 0.7595 - 19
70.png 0.7798 - 2
60.png 0.704 - 2
70.png 0.7753 - 2
60.png 0.9229 - 1
70.png 0.8006 - 1
60.png 0.8512 - 1
70.png 0.7472 - 2
60.png 0.8315 - 3
70.png 0.7686 - 2
60.png 0.6198 - 1
70.png 0.774 - 13
60.png 0.7987 - 1
70.png 0.639 - 1
60.png 0.8894 - 1
70.png 0.7287 - 1
60.png 0.7517 - 1
70.png 0.8266 - 2
50.png 0.6857 - 1
70.png 0.8046 - 4
80.png 0.5918 - 1
70.png 0.6784 - 74
Stop.png 0.7219 - 7
NoLeftTurn.png 0.8049 - 3
TurnLeft.png 0.8861 - 1
NoLeftTurn.png 0.7466 - 47
NoRightTurn.png 0.8248 - 2
NoLeftTurn.png 0.7494 - 2
NoRightTurn.png 0.8444 - 3
NoLeftTurn.png 0.7638 - 2
NoRightTurn.png 0.8199 - 7
NoLeftTurn.png 0.8283 - 1
NoRightTurn.png 0.8167 - 5
NoLeftTurn.png 0.8117 - 1
NoRightTurn.png 0.8192 - 44
